116HG	Prader-Willi Syndrome
AC087667.1	Alzheimer's Disease
AC087763.2	Autism Spectrum Disorder
AC090049.2	Autism Spectrum Disorder
AC090132.1	Alzheimer's Disease
AC090132.2	Alzheimer's Disease
AC090337.2	Autism Spectrum Disorder
AC090415.2	Stroke
AC090515.7	Alzheimer's Disease
AC090791.1	Amyotrophic Lateral Sclerosis
AC090819.1	Autism Spectrum Disorder
AC090987.1	Autism Spectrum Disorder
AC090993.1	Autism Spectrum Disorder
AC091182.1	Alzheimer's Disease
AC091832.1	Epilepsy
AC092110.1	Amyotrophic Lateral Sclerosis
AC092162.2	Alzheimer's Disease
AC092168.1	Alzheimer's Disease
AC092327.1	Alzheimer's Disease
AC092506.1	Autism Spectrum Disorder
AC092720.1	Stroke
AC092720.3	Stroke
AC093277.1	Multiple Sclerosis
AC093606.1	Alzheimer's Disease
AC093627.3	Glioma
AC093635.1	Alzheimer's Disease, Autism Spectrum Disorder
AC093909.4	Autism Spectrum Disorder
AC094104.2	Epilepsy
AC095031.1	Autism Spectrum Disorder
AC095060.1	Alzheimer's Disease
AC096553.5	Alzheimer's Disease
AC096647.1	Autism Spectrum Disorder
AC097375.4	Autism Spectrum Disorder
AC098595.1	Alzheimer's Disease
AC098650.1	Alzheimer's Disease, Parkinson's Disease
AC099520.1	Alzheimer's Disease, Autism Spectrum Disorder
AC100802.1	Amyotrophic Lateral Sclerosis
AC103957.1	Parkinson's Disease
AC103957.2	Parkinson's Disease
AC103993.1	Alzheimer's Disease
AC104169.1	Autism Spectrum Disorder
AC104417.1	Amyotrophic Lateral Sclerosis
AC104417.2	Amyotrophic Lateral Sclerosis
AC104574.2	Autism Spectrum Disorder
AC105411.1	Alzheimer's Disease
AC105916.2	Alzheimer's Disease
AC106868.1	Alzheimer's Disease
AC107391.1	Amyotrophic Lateral Sclerosis
AC107990.1	Alzheimer's Disease
AC108019.2	Alzheimer's Disease
AC108105.1	Multiple Sclerosis
AC108112.1	Alzheimer's Disease
AC108488.3	Cerebral Palsy
AC109635.4	Alzheimer's Disease
AC113367.2	Autism Spectrum Disorder
AC113410.1	Alzheimer's Disease
AC113414.1	Autism Spectrum Disorder
AC113607.1	Alzheimer's Disease
AC114812.8	Neuroblastoma
AC116003.1	Autism Spectrum Disorder
AC116534.1	Parkinson's Disease
AC116634.1	Alzheimer's Disease
AC120036.1	Autism Spectrum Disorder
AC122138.1	Autism Spectrum Disorder
AC127459.1	Multiple Sclerosis
AC127459.2	Multiple Sclerosis
AC127496.1	Alzheimer's Disease
