116HG	Prader-Willi Syndrome
C16orf95	Alzheimer's Disease
C17orf64	Alzheimer's Disease
C1D	Restless legs Syndrome
C1GALT1	Multiple Sclerosis
C1orf52	Multiple Sclerosis
C1QL1	Glioma
C1QL3	Alzheimer's Disease
C2-AS1	Autism Spectrum Disorder
C2	Autism Spectrum Disorder
C2DAT1	Ischemic Brain injury
C2orf69	Autism Spectrum Disorder
C2orf69P2	Alzheimer's Disease
C2orf80	Glioma
C3	Glioma
C3orf80	Multiple Sclerosis
C4A	Autism Spectrum Disorder
C4B_2	Autism Spectrum Disorder
C4B	Autism Spectrum Disorder
C4orf19	Multiple Sclerosis
C4orf50	Alzheimer's Disease
C4orf54	Stroke
C5AR1	Glioma
C5orf24	Parkinson's Disease
C5orf46	Alzheimer's Disease
C5orf64	Alzheimer's Disease
C6orf136	Alzheimer's Disease, Autism Spectrum Disorder
C6orf15	Autism Spectrum Disorder
C6orf47	Autism Spectrum Disorder
C7orf50	Alzheimer's Disease
C8orf44-SGK3	Alzheimer's Disease
C8orf58	Parkinson's Disease
C8orf74	Autism Spectrum Disorder
C9orf131	Alzheimer's Disease
C9orf135	Stroke
C9orf72	Amyotrophic Lateral Sclerosis
C9orf92	Alzheimer's Disease, Epilepsy, Intracranial Aneurysm
CA4	Autism Spectrum Disorder
CA8	Intellectual Disability, Parkinson's Disease
CAB39L	Parkinson's Disease
CABIN1	Amyotrophic Lateral Sclerosis
CACNA1A	Alzheimer's Disease, Coma
CACNA1B	Parkinson's Disease
CACNA1C-AS4	Autism Spectrum Disorder
CACNA1C	Autism Spectrum Disorder
CACNA1C-IT3	Autism Spectrum Disorder
CACNA1E	Epilepsy
CACNA1G	Alzheimer's Disease
CACNA1H	Epilepsy
CACNA1I	Autism Spectrum Disorder
CACNA2D2	Epilepsy
CACNA2D3	Alzheimer's Disease
CACNB2	Autism Spectrum Disorder
CACNB4	Epilepsy
CACUL1	Alzheimer's Disease
CADM2	Alzheimer's Disease, Autism Spectrum Disorder
CADPS2	Alzheimer's Disease, Epilepsy
CADPS	Autism Spectrum Disorder
CALB1	Glioma
CALHM1	Alzheimer's Disease
CALHM2	Alzheimer's Disease
CALHM3	Alzheimer's Disease
CALHM6	Alzheimer's Disease
CALHM6-AS1	Alzheimer's Disease
CAMK1G	Amyotrophic Lateral Sclerosis
CAMK2A	Glioma
CAMK2B	Intracranial Aneurysm
CAMK2D	Parkinson's Disease
CAMK2G	Multiple Sclerosis
CAMK4	Alzheimer's Disease
CAMSAP2	Epilepsy
CAND1	Amyotrophic Lateral Sclerosis
CAPN10	Stroke
CAPN3	Muscular Dystrophy
CARD11	Intracranial Aneurysm, Multiple Sclerosis
CARD16	Huntington's Disease
CARHSP1	Intracranial Aneurysm
CARMIL1	Autism Spectrum Disorder
CARMN	Alzheimer's Disease
CARTPT	Glioma
CASC15	Neuroblastoma, Neuroblastoma
CASC16	Parkinson's Disease
CASC19	Multiple Sclerosis
CASC2c	Glioma
CASC2	Glioma
CASDE1	Autism Spectrum Disorder
CASK	Epilepsy
CASP8	Multiple Sclerosis
CASR	Epilepsy
CASS4	Alzheimer's Disease
CASTOR3	Alzheimer's Disease
CASZ1	Stroke
CAT	Glioma
CATSPERB	Alzheimer's Disease
CAV3	Muscular Dystrophy
CAVIN1	Glioma
CBFA2T3	Alzheimer's Disease, Multiple Sclerosis
CBLB	Multiple Sclerosis
CBLC	Alzheimer's Disease
CBL	Glioma
CBLN2	Multiple Sclerosis
CBR1	Alzheimer's Disease, Glioma
CBX5	Glioma
CBX7	Glioma
CC2D1A	Intellectual Disability
CCAT1	Glioma
CCBE1	Alzheimer's Disease
CCDC12	Multiple Sclerosis
CCDC134	Alzheimer's Disease
CCDC148	Restless legs Syndrome
CCDC167	Restless legs Syndrome
CCDC172	Epilepsy
CCDC181	Autism Spectrum Disorder
CCDC182	Alzheimer's Disease
CCDC192	Amyotrophic Lateral Sclerosis
CCDC24	Autism Spectrum Disorder
CCDC26	Glioma, Glioma
CCDC50	Alzheimer's Disease
CCDC62	Parkinson's Disease
CCDC68	Autism Spectrum Disorder
CCDC80	Intracranial Aneurysm
CCDC82	Parkinson's Disease
CCDC85C	Alzheimer's Disease
CCDC88C	Hydrocephalus
CCDC89	Alzheimer's Disease
CCHCR1	Autism Spectrum Disorder
CCL22	Multiple Sclerosis
CCL2	Glioma
CCL5	Glioma
CCM2	Stroke
CCN4	Glioma
CCN6	Parkinson's Disease
CCNB1	Glioma
CCND1	Alzheimer's Disease, Glioma
CCND2-AS1	Glioma
CCND2	Glioma
CCNT2-AS1	Alzheimer's Disease, Parkinson's Disease
CCNT2	Parkinson's Disease
CCR1	Narcolepsy
CCR3	Narcolepsy
CCR4	Multiple Sclerosis
CCT4	Glioma
CCT7	Glioma
CCZ1B	Alzheimer's Disease
CD14	Glioma
CD163L1	Intracranial Aneurysm
CD180	Alzheimer's Disease
CD19	Parkinson's Disease
CD200R1	Multiple Sclerosis
CD226	Multiple Sclerosis
CD248	Cerebral Palsy, Glioma
CD24	Glioma, Multiple Sclerosis
CD274	Glioma
CD27-AS1	Multiple Sclerosis
CD27	Glioma
CD28	Multiple Sclerosis
CD2AP	Alzheimer's Disease
CD2	Multiple Sclerosis
CD300LG	Alzheimer's Disease
CD33	Alzheimer's Disease
CD34	Glioma
CD38	Parkinson's Disease
CD3D	Alzheimer's Disease, Cerebral Palsy
CD3G	Alzheimer's Disease
CD40	Multiple Sclerosis
CD44	Glioma
CD46	Glioma
CD48	Multiple Sclerosis
CD4	Glioma
CD55	Neuroblastoma
CD58	Multiple Sclerosis
CD5	Multiple Sclerosis
CD63	Glioma
CD68	Glioma
CD69	Multiple Sclerosis
CD6	Multiple Sclerosis
CD70	Glioma
CD7	Alzheimer's Disease
CD81	Glioma
CD86	Multiple Sclerosis
CD8A	Glioma
CD90	Glioma
CD99	Glioma
CD9	Glioma
CDA	Alzheimer's Disease
CDC23	Autism Spectrum Disorder
CDC25C	Autism Spectrum Disorder
CDC37	Multiple Sclerosis
CDC42SE2	Alzheimer's Disease
CDC5L	Alzheimer's Disease
CDC71	Parkinson's Disease
CDH10	Autism Spectrum Disorder
CDH13	Alzheimer's Disease
CDH15	Intellectual Disability
CDH19	Alzheimer's Disease
CDH23	Alzheimer's Disease
CDH3	Multiple Sclerosis
CDH8	Alzheimer's Disease
CDH9	Autism Spectrum Disorder
CDHR3	Multiple Sclerosis
CDK2AP1	Autism Spectrum Disorder
CDK4	Glioma
CDK4P1	Autism Spectrum Disorder
CDK5	Glioma
CDK6	Glioma, Stroke
CDKAL1	Alzheimer's Disease
CDKL5	Epilepsy, Rett Syndrome
CDKN1A	Glioma
CDKN1B	Glioma
CDKN1C	Glioma
CDKN2A	Glioma, Intracranial Aneurysm
CDKN2B-AS10	Stroke
CDKN2B-AS11	Stroke
CDKN2B-AS12	Glioma
CDKN2B-AS13	Plexiform Neurofibroma
CDKN2B-AS1	Alzheimer's Disease, Glioma, Glioma, Intracranial Aneurysm, Intracranial Aneurysm, Ischemic Stroke, Multiple Sclerosis, Neuroblastoma, Neurofibromatosis, Plexiform Neurofibroma, Stroke, Stroke
CDKN2B-AS3	Intracranial Aneurysm
CDKN2B	Glioma, Intracranial Aneurysm
CDKN2C	Glioma
CDLA-4	Glioma
CDON	Alzheimer's Disease
CDR1-AS (ciRS-7)	Glioma
CDR1-AS	Glioma
CDR2L	Alzheimer's Disease
CDRT1	Charcot-Marie-Tooth Disease
CDS2	Autism Spectrum Disorder
CDSN	Autism Spectrum Disorder
CDX2	Neuroblastoma
CDYL2	Autism Spectrum Disorder
CEACAM16	Alzheimer's Disease
CEACAM20	Alzheimer's Disease
CEACAM22P	Alzheimer's Disease
CEBPB	Glioma
CELF1	Alzheimer's Disease
CELF2	Alzheimer's Disease
CELF4	Alzheimer's Disease
CENATAC	Autism Spectrum Disorder
CENPC	Multiple Sclerosis
CENPM	Autism Spectrum Disorder
CENPO	Multiple Sclerosis
CENPV	Amyotrophic Lateral Sclerosis
CEP164	Alzheimer's Disease
CEP295NL	Alzheimer's Disease
CERNA1	Glioma
CERS4	Autism Spectrum Disorder
CERS6	Parkinson's Disease
CETN4P	Alzheimer's Disease
CFAP20DC	Alzheimer's Disease, Parkinson's Disease
CFAP410	Amyotrophic Lateral Sclerosis
CFAP58	Autism Spectrum Disorder
CFAP74	Alzheimer's Disease
CFB	Autism Spectrum Disorder
CFD	Meningitis
CHADL	Autism Spectrum Disorder
CHAF1A	Glioma
CHAF1B	Glioma
CHAMP1	Intellectual Disability
CHD2	Epilepsy, Intellectual Disability
CHD3	Stroke
CHD4	Alzheimer's Disease
CHD5	Neuroblastoma
CHD6	Glioma
CHD7	Cerebral Palsy, Multiple Sclerosis
CHD9	Parkinson's Disease
CHEK1	Glioma
CHEK2	Glioma
CHI3L1	Glioma
CHI3L2	Cerebral Palsy
CHIT1	Gaucher Disease
CHMP2B	Aphasia, Dystonia
CHN2	Alzheimer's Disease
CHODL	Neuroblastoma
CHRFAM7A	Alzheimer's Disease
CHRM4	Autism Spectrum Disorder
CHRNA2	Alzheimer's Disease, Autism Spectrum Disorder, Autosomal Dominant Nocturnal Frontal Lobe Epilepsy, Epilepsy
CHRNA321	Neuroblastoma
CHRNA3	Autism Spectrum Disorder
CHRNA4	Autosomal Dominant Nocturnal Frontal Lobe Epilepsy, Epilepsy
CHRNA5	Autism Spectrum Disorder
CHRNA7	Epilepsy, Intellectual Disability
CHRNB1	Parkinson's Disease
CHRNB2	Autosomal Dominant Nocturnal Frontal Lobe Epilepsy, Epilepsy
CHRNB4	Autism Spectrum Disorder
CHST12	Multiple Sclerosis
CHST1	Alzheimer's Disease, Autism Spectrum Disorder
CIB1	Alzheimer's Disease
CIC	Glioma
CIR1P1	Alzheimer's Disease
circ-0000020	Glioma
circ-0000177	Glioma
circ-0000215	Glioma
circ-0000337	Glioma
circ-0000915	Glioma
circ-0000936	Glioma
circ-0001162	Glioma
circ-0001367	Glioma
circ-0001445	Glioma
circ-0001467	Glioma
circ-0001588	Glioma
circ-0001649	Glioma
circ-0001730	Glioma
circ-0001801	Glioma
circ-0001836	Glioma
circ-0001946	Glioma
circ-0002755	Glioma
circ-0004379	Glioma
circ-0005075	Glioma
circ-0005114	Glioma
circ-0005198	Glioma
circ-0006168	Glioma
circ-0007534	Glioma
circ-0008225	Glioma
circ-0008344	Glioma
circ-0008362	Glioma
circ-0012129	Glioma
circ-001350	Glioma
circ-0013520	Glioma
circ-0014359	Glioma
circ-001680	Glioma
circ-002136	Glioma
circ-0029426	Glioma
circ-0030018	Glioma
circ-0034642	Glioma
circ-0037251	Glioma
circ-0037655	Glioma
circ-0042003	Glioma
circ-0043278	Glioma
circ-0046701	Glioma
circ-0061868	Glioma
circ-0067934	Glioma
circ-0072083	Glioma
circ-0074026	Glioma
circ-0074027	Glioma
circ-0074362	Glioma
circ-0076248	Glioma
circ-0079586	Glioma
circ-0079593	Glioma
circ-0082374	Glioma
circ-0088732	Glioma
circ-0091581	Glioma
circ-0110757	Glioma
circ-0127664	Glioma
circ-01844	Glioma
circ-101064	Glioma
circ-104075	Glioma
circ-ABCB10	Glioma
circ-ARF1	Glioma
circ-ASAP1	Glioma
circ-ASPH	Glioma
circ-ATP5B	Glioma
circ-ATXN1	Glioma
circ-BRAF	Glioma
circ-CDC45	Glioma
circ-CEP128	Glioma
circ-CFH	Glioma
circ-CHAF1A	Glioma
circ-CPA4	Glioma
circ-CSPP1	Glioma
circ-DENND2A	Glioma
circ-DICER1	Glioma
circ-DTL	Glioma
circ-E-Cad	Glioma
circ-EGFR	Glioma
circ-EIF4G3	Glioma
circ-ELF2	Glioma
circ-EPB41L5	Glioma
circ-EPHB4	Glioma
circ-EZH2	Glioma
circ-FANCL	Glioma
circ-FBXW7	Glioma
circ-FOXO3	Glioma
circ-GFRA1	Glioma
circ-HECTD1	Glioma
circ-HIPK3	Glioma
circ-ITCH	Glioma
circ-ITGA7	Glioma
circ-KIF4A	Glioma
circ-LINC-PINT	Glioma
circ-MAN2B2	Glioma
circ-MAPK4	Glioma
circ-MELK	Glioma
circ-MMP1	Glioma
circ-MMP9	Glioma
circ-MTO1	Glioma
circ-NALCN	Glioma
circ-NCAPG	Glioma
circ-NFIX	Glioma
circ-NT5E	Glioma
circ-PARP4	Glioma
circ-PCMTD1	Glioma
circ-PIP5K1A	Glioma
circ-PITX1	Glioma
circ-POSTN	Glioma
circ-PRKCI	Glioma
circ-PTN	Glioma
circ-PTPRZ1	Glioma
circ-PVT1	Glioma
circ-RPL15	Glioma
circ-SCAF11	Glioma
circ-SEPT9	Glioma
circ-SFMBT2	Glioma
circ-SHKBP1	Glioma
circ-SHPRH	Glioma
circ-SKA3	Glioma
circ-SMAD7	Glioma
circ-SMARCA5	Glioma
circ-SMO	Glioma
circ-TOP2A	Glioma
circ-TTBK2	Glioma
circ-U2AF1	Glioma
circ-UBAP2	Glioma
circ-VCAN	Glioma
circ-ZNF264	Glioma
circ-ZNF292	Glioma
circ-ZNF609	Glioma
cir-ITCH	Glioma
CIT	Down Syndrome
CITF22-92A6.2	Alzheimer's Disease
CKAP5	Alzheimer's Disease, Autism Spectrum Disorder
CKB	Autism Spectrum Disorder
CKM	Alzheimer's Disease
CLASP1	Autism Spectrum Disorder
CLASP2	Autism Spectrum Disorder
CLASRP	Alzheimer's Disease
CLCN2	Epilepsy
CLCN3	Autism Spectrum Disorder, Parkinson's Disease
CLCN7	Autism Spectrum Disorder
CLDN17	Stroke
CLDN18	Alzheimer's Disease
CLDN7	Multiple Sclerosis
CLEC16A	Multiple Sclerosis
CLEC17A	Autism Spectrum Disorder
CLEC19A	Parkinson's Disease
CLEC2D	Multiple Sclerosis
CLECL1	Multiple Sclerosis
CLIC1	Autism Spectrum Disorder, Glioma
CLIP2	Autism Spectrum Disorder
CLK2	Gaucher Disease
CLMN	Alzheimer's Disease
CLN3	Batten Disease
CLN5	Epilepsy
CLN6	Restless legs Syndrome
CLN8	Epilepsy
CLNK	Alzheimer's Disease
CLOCK	Glioma
CLP1	Autism Spectrum Disorder
CLPTM1	Alzheimer's Disease
CLRN3	Parkinson's Disease
CLSTN1	Alzheimer's Disease
CLSTN2	Multiple Sclerosis
CLU	Alzheimer's Disease, Autism Spectrum Disorder
CLUH	Alzheimer's Disease
CMC1	Multiple Sclerosis
CMYA5	Muscular Dystrophy
CNKSR3	Parkinson's Disease
CNN1	Down Syndrome
CNN2	Down Syndrome
CNNM2	Autism Spectrum Disorder, Intracranial Aneurysm, Parkinson's Disease
CNOT1	Autism Spectrum Disorder
CNOT2	Amyotrophic Lateral Sclerosis
CNOT6	Alzheimer's Disease
CNOT6LP1	Stroke
CNOT8	Glioma
CNR2	Alzheimer's Disease, Multiple Sclerosis
CNTN1	Parkinson's Disease
CNTN2	Epilepsy
CNTN4	Amyotrophic Lateral Sclerosis, Autism Spectrum Disorder, Restless legs Syndrome
CNTNAP2	Alzheimer's Disease, Autism Spectrum Disorder, Epilepsy
CNTNAP4	Autism Spectrum Disorder
COA4	Autism Spectrum Disorder
COA8	Autism Spectrum Disorder
COBL	Alzheimer's Disease
COG2	Alzheimer's Disease
COG6	Multiple Sclerosis
COL11A1	Cerebral Aneurysm
COL12A1	Alzheimer's Disease
COL13A1	Parkinson's Disease
COL18A1	Alzheimer's Disease
COL22A1	Coma
COL3A1	Cerebral Aneurysm
COL4A1	Stroke
COL4A2	Alzheimer's Disease
COL4A4	Alzheimer's Disease
COL5A1	Stroke
COL5A2	Parkinson's Disease
COL6A1	Muscular Dystrophy
COL6A2	Muscular Dystrophy
COL6A3	Muscular Dystrophy
COL9A3	Alzheimer's Disease
COPG2	Autism Spectrum Disorder
COPS4	Alzheimer's Disease, Down Syndrome
COPS7A	Alzheimer's Disease
COQ10B	Autism Spectrum Disorder
COQ7	Parkinson's Disease
CORO2B	Alzheimer's Disease
CORT	Neuroblastoma
COTL1	Epilepsy
COX10-AS1	Alzheimer's Disease
COX20	Dystonia
CPA5	Autism Spectrum Disorder
CPEB4	Glioma
CP	Glioma, Parkinson's Disease
CPLX1	Alzheimer's Disease, Parkinson's Disease
CPLX2	Huntington's Disease
CPNE1	Alzheimer's Disease
CPNE4	Amyotrophic Lateral Sclerosis, Intracranial Aneurysm
CPT1A	Glioma
CPT1B	Narcolepsy
CR1	Alzheimer's Disease
CR1L	Alzheimer's Disease, Multiple Sclerosis
CR613436	Glioma
CRACDL	Autism Spectrum Disorder
CRADD	Alzheimer's Disease, Epilepsy, Intellectual Disability
CRAMP1	Epilepsy
CRBN	Intellectual Disability, Restless legs Syndrome
CREB1	Glioma
CREB3L1	Autism Spectrum Disorder
CREB5	Amyotrophic Lateral Sclerosis
CRHR1	Alzheimer's Disease, Parkinson's Disease
CRIP3	Autism Spectrum Disorder
CRISPLD1	Parkinson's Disease
CRK	Alzheimer's Disease
CRLS1	Parkinson's Disease
CRNDE	Glioma
CRTAP	Multiple Sclerosis
CRTC1	Alzheimer's Disease
CRYBG1	Stroke
CS	Alzheimer's Disease
CSDE1	Autism Spectrum Disorder
CSF-1R	Glioma
CSF2RB	Multiple Sclerosis
CSGALNACT2	Multiple Sclerosis
CSMD1	Alzheimer's Disease, Autism Spectrum Disorder, Multiple Sclerosis
CSMD3	Epilepsy
CSNK1D	Alzheimer's Disease
CSNK1G2	Alzheimer's Disease
CSNK1G3	Amyotrophic Lateral Sclerosis
CSNK2A1	Intellectual Disability
CSNK2B	Autism Spectrum Disorder
CST1	Alzheimer's Disease
CST3	Creutzfeldt Jakob Disease, Stroke
CSTB	Epilepsy
CSTP2	Alzheimer's Disease
CTAGE14P	Alzheimer's Disease
CTB-171A8.1	Alzheimer's Disease
CTB-179K24.3	Alzheimer's Disease
CTB-191K22.6	Alzheimer's Disease
CTBP1	Intellectual Disability
CTC1	Parkinson's Disease
CTC-236F12.4	Alzheimer's Disease
CTC-436P18.1	Autism Spectrum Disorder
CTC-459F4.3	Alzheimer's Disease
CTC-459F4.8	Alzheimer's Disease
CTC-490E21.12	Alzheimer's Disease
CTC-490G23.6	Alzheimer's Disease
CTC-756D1.1	Alzheimer's Disease
CTC-756D1.2	Alzheimer's Disease
CTCF	Intellectual Disability
CTD-2020K17.4	Alzheimer's Disease
CTD-2132N18.3	Alzheimer's Disease
CTD-2303B20.1	Alzheimer's Disease
CTD-2311M21.5	Alzheimer's Disease
CTD-2349B8.1	Alzheimer's Disease
CTD-2517M22.14	Alzheimer's Disease
CTD-2541J13.2	Alzheimer's Disease
CTD-2554C21.1	Alzheimer's Disease
CTD-3037G24.3	Neuroblastoma
CTD-3187F8.11	Alzheimer's Disease
CTD-3187F8.2	Alzheimer's Disease
CTHRC1	Alzheimer's Disease
CTLA4	Multiple Sclerosis
CTNNA2	Alzheimer's Disease, Autism Spectrum Disorder
CTNNAL1	Dysautonomia
CTNNB1	Glioma, Intellectual Disability
CTNND1	Alzheimer's Disease, Autism Spectrum Disorder, Parkinson's Disease
CTNND2	Glioma
CTSB	Alzheimer's Disease, Parkinson's Disease
CTSD	Alzheimer's Disease, Glioma
CTSH	Multiple Sclerosis, Narcolepsy
CTSO	Alzheimer's Disease
CTTNBP2	Autism Spectrum Disorder
CTU1	Alzheimer's Disease
CTU2	Autism Spectrum Disorder
CUEDC1	Multiple Sclerosis
CUEDC2	Autism Spectrum Disorder
CUL4A	Intracranial Aneurysm
CUL4B	Intellectual Disability
CUTA	Autism Spectrum Disorder
CWC22	Autism Spectrum Disorder
CWF19L2	Parkinson's Disease
CXCL8	Glioma
CXCR3-A	Glioma
CXCR4	Glioma, Multiple Sclerosis
CXCR5	Multiple Sclerosis
CXXC5	Alzheimer's Disease
CYB561	Alzheimer's Disease
CYCS	Alzheimer's Disease
CYFIP1	Alzheimer's Disease, Epilepsy, Intellectual Disability
CYFIP2	Multiple Sclerosis
CYP17A1	Autism Spectrum Disorder, Parkinson's Disease
CYP1B1-AS1	Parkinson's Disease
CYP1B1	Parkinson's Disease
CYP21A1P	Autism Spectrum Disorder
CYP21A2	Alzheimer's Disease, Autism Spectrum Disorder
CYP24A1	Multiple Sclerosis
CYP26A1	Alzheimer's Disease
CYP27B1	Multiple Sclerosis
CYP2A7	Alzheimer's Disease
CYP2D6	Autism Spectrum Disorder
CYP2D7	Autism Spectrum Disorder
CYRIB	Parkinson's Disease
CYTH4	Alzheimer's Disease
CYTOR	Glioma
D21S2088E	Alzheimer's Disease
D2HGDH	Epilepsy, Glioma
DAB1	Alzheimer's Disease
DAB2IP	Glioma
DACH1	Alzheimer's Disease, Restless legs Syndrome
DAGLA	Spasmodic Dysphonia
DANT2	Autism Spectrum Disorder
DAOA-AS1	Bipolar Disorder, Panic Disorder, Schizophrenia
DAPL1	Alzheimer's Disease
DAPP1	Stroke
DAXX	Autism Spectrum Disorder
DCAF7	Alzheimer's Disease
DCC	Autism Spectrum Disorder
DCDC2B	Alzheimer's Disease
DCDC2C	Restless legs Syndrome
DCDC2	Dyslexia
DCHS2	Alzheimer's Disease
DCP1B	Autism Spectrum Disorder
DCTN1	Motor Neurone Disease, Muscular Dystrophy
DCTN6	Alzheimer's Disease
DCUN1D1	Autism Spectrum Disorder, Parkinson's Disease
DCX	Epilepsy, Neuroblastoma
DDAH1	Multiple Sclerosis
DDAH2	Autism Spectrum Disorder
DDB2	Autism Spectrum Disorder
DDC	Neuroblastoma
DDHD2	Autism Spectrum Disorder
DDIT4	Parkinson's Disease
DDR1	Alzheimer's Disease, Autism Spectrum Disorder
DDRGK1	Parkinson's Disease
DDX18	Alzheimer's Disease
DDX25	Alzheimer's Disease
DDX39B	Autism Spectrum Disorder
DDX3X	Glioma
DDX3Y	Autism Spectrum Disorder
DDX58	Encephalitis
DDX6	Multiple Sclerosis
DEAF1	Alzheimer's Disease
DEL	Neuroblastoma
DENND2B	Alzheimer's Disease, Parkinson's Disease
DENND2C	Autism Spectrum Disorder
DENND3	Alzheimer's Disease
DEPDC1B	Autism Spectrum Disorder
DEPDC5	Familial Focal Epilepsy with Variable Foci
DGCR5	Autism Spectrum Disorder, Huntington's Disease
DGKI	Autism Spectrum Disorder
DGKQ	Parkinson's Disease
DGKZ	Autism Spectrum Disorder
DHCR24	Alzheimer's Disease
DHX15	Parkinson's Disease
DHX16	Autism Spectrum Disorder
DICER1	Glioma
DIP2A	Down Syndrome
DIP2C	Alzheimer's Disease
DIP2C-AS1	Alzheimer's Disease
DIPK1A	Multiple Sclerosis
DIRAS2	Multiple Sclerosis
DIRAS3	Glioma
DIS3	Restless legs Syndrome
DISC1	Alzheimer's Disease, Amyotrophic Lateral Sclerosis
DISC1FP1	Schizophrenia
DISC2	Affective Disorder, Autism Spectrum Disorder, Bipolar Disorder, Depression Disorder, Major Depression Disorder, Schizophrenia
DKFZP434H0512	Alzheimer's Disease
DKKL1	Multiple Sclerosis
DLEU1	Alzheimer's Disease, Multiple Sclerosis
DLEU2	Alzheimer's Disease
DLEU7	Multiple Sclerosis
DLG2-AS1	Schizophrenia
DLG2	Autism Spectrum Disorder, Parkinson's Disease
DLG3	Intellectual Disability
DLGAP1	Autism Spectrum Disorder
DLGAP2	Alzheimer's Disease, Cerebral Palsy, Epilepsy, Stroke
DLGAP4	Neuroblastoma
DLL3	Glioma
DLL4	Glioma, Multiple Sclerosis
DLX2	Glioma
DLX3	Alzheimer's Disease
DLX5	Alzheimer's Disease
DMBT1	Glioma
DMD	Muscular Dystrophy
DMPK	Muscular Dystrophy
DMRT2	Parkinson's Disease
DMTN	Alzheimer's Disease
DMXL1	Alzheimer's Disease
DNAAF4	Dyslexia
DNAH10	Stroke
DNAH11	Stroke
DNAH12	Stroke
DNAH14	Stroke
DNAH17	Parkinson's Disease, Stroke
DNAH1	Autism Spectrum Disorder, Parkinson's Disease, Stroke
DNAH2	Stroke
DNAH3	Stroke
DNAH5	Stroke
DNAH6	Stroke
DNAH7	Stroke
DNAH8	Stroke
DNAH9	Stroke
DNAJA4	Intracranial Aneurysm
DNAJB7	Autism Spectrum Disorder
DNAJC15	Alzheimer's Disease
DNAJC28	Down Syndrome
DNAJC5B	Epilepsy
DNAJC6	Autism Spectrum Disorder
DNM1	Epilepsy
DNM1L	Intellectual Disability
DNM1P41	Autism Spectrum Disorder
DNM2	Charcot-Marie-Tooth Disease
DNMT1	Narcolepsy
DNMT3A	Intellectual Disability, Multiple Sclerosis
DOC2A	Alzheimer's Disease, Autism Spectrum Disorder
DOCK10	Multiple Sclerosis
DOCK1	Amyotrophic Lateral Sclerosis
DOCK3	Attention Deficit Hyperactivity Disorder
DOCK4	Alzheimer's Disease
DOCK7	Epilepsy, Intellectual Disability
DOP1B	Down Syndrome
DOT1L	Alzheimer's Disease
DPF2	Glioma
DPH2	Autism Spectrum Disorder
DPH6	Parkinson's Disease, Restless legs Syndrome
DPP10	Autism Spectrum Disorder
DPP4	Multiple Sclerosis
DPP6	Amyotrophic Lateral Sclerosis
DPYD-AS2	Autism Spectrum Disorder
DPYD	Autism Spectrum Disorder
DQA1	Multiple Sclerosis
DRAIC	Alzheimer's Disease, Glioma
DRAM1	Intracranial Aneurysm
DRAP1	Multiple Sclerosis
DRD2	Autism Spectrum Disorder, Dystonia
DRD3	Essential Tremor
DRD4	Attention Deficit Hyperactivity Disorder
DRD5	Alzheimer's Disease, Dystonia
DRGX	Autism Spectrum Disorder
DSC1	Multiple Sclerosis
DSCAM	Down Syndrome, Intracranial Aneurysm
DSCAML1	Alzheimer's Disease, Down Syndrome
DSCR10	Down Syndrome
DSCR4	Down Syndrome, Down Syndrome
DSCR8	Down Syndrome, Down Syndrome
DSCR9	Down Syndrome
DSEL	Alzheimer's Disease
DSERG1	Down Syndrome
DSG3	Parkinson's Disease
DST	Alzheimer's Disease, Dystonia
DSTNP5	Alzheimer's Disease
DTNB	Intracranial Aneurysm
DUSP22	Alzheimer's Disease
DUSP8	Alzheimer's Disease
DUX4L1	Muscular Dystrophy
DVL2	Alzheimer's Disease
DXO	Autism Spectrum Disorder
DYNC1H1	Stroke
DYNLL1P4	Alzheimer's Disease
DYRK1A	Down Syndrome, Intellectual Disability, Parkinson's Disease, Stroke
DYRK2	Amyotrophic Lateral Sclerosis
DYSF	Muscular Dystrophy
E1F1	Glioma
E2F1	Glioma
EBAG9	Glioma
ECHDC3	Alzheimer's Disease
ECT2L	Neuroblastoma
EDAR	Alzheimer's Disease
EDEM1	Alzheimer's Disease
EDIL3	Alzheimer's Disease, Narcolepsy
EDNRA	Intracranial Aneurysm
EDNRB	Down Syndrome
EDRF1-AS1	Glioma
EEF1A1P11	Autism Spectrum Disorder
EEF1A2	Autism Spectrum Disorder, Epilepsy, Intellectual Disability
EEF1AKMT1	Neuroblastoma
EEF1D	Alzheimer's Disease
EEFSEC	Alzheimer's Disease
EFEMP1	Amyotrophic Lateral Sclerosis
EFHC1	Epilepsy
EFHC2	Epilepsy
EFHD1	Alzheimer's Disease
EFL1P1	Autism Spectrum Disorder
EFNA5	Alzheimer's Disease
EFS	Glioma
EGF	Glioma
EGFL6	Multiple Sclerosis
EGFL7	Glioma
EGFL8	Autism Spectrum Disorder
EGFR	Glioma
EGFRvIII	Glioma
EGLN3	Alzheimer's Disease
EGR1	Amyotrophic Lateral Sclerosis, Autism Spectrum Disorder
EGR2	Autism Spectrum Disorder, Charcot-Marie-Tooth Disease
EHMT2	Autism Spectrum Disorder
EIF1AY	Autism Spectrum Disorder
EIF2D	Alzheimer's Disease
eIF4A3	Glioma
EIF5	Autism Spectrum Disorder
EIPR1	Alzheimer's Disease
ELAPOR2	Autism Spectrum Disorder
ELAVL3	Encephalitis
ELF3	Glioma
ELF4	Glioma
ELL	Alzheimer's Disease
ELMO1	Alzheimer's Disease, Multiple Sclerosis
ELOVL1	Alzheimer's Disease
ELOVL2	Glioma
